		In Use		
<anonymous>	10000	1000	"=HEX2DEC(""c2"")"	0000f000
<anonymous>	20000	1000		0000f000
<anonymous>	30000	3000		0000d000
<anonymous>	40000	100000		0
<anonymous>	140000	10000		0
<anonymous>	150000	10000		0
<anonymous>	160000	16000		0000a000
<anonymous>	180000	0003d000		3000
<anonymous>	001c0000	41000		0000f000
<anonymous>	210000	6000		0000a000
C:\Matlab\bin\win32\libz.dll	220000	12000		0
<anonymous>	240000	10000		0
<anonymous>	250000	3000		0000d000
<anonymous>	260000	10000		0
<anonymous>	270000	100000		0
<anonymous>	370000	1000		0000f000
<anonymous>	380000	1000		0000f000
<anonymous>	390000	10000		0
<anonymous>	003a0000	2000		0
<anonymous>	003b0000	2000		0
<anonymous>	003c0000	10000		0
<anonymous>	003d0000	2000		0
<anonymous>	3	10000		0
<anonymous>	003f0000	10000		0
C:\Matlab\bin\win32\MATLAB.exe	400000	000d3000		0000d000
<anonymous>	4	800000		0
<anonymous>	00ce0000	000c8000		8000
<anonymous>	00db0000	103000		0000d000
<anonymous>	00ec0000	300000		0
<anonymous>	011c0000	957000		9000
<anonymous>	01b20000	100000		0
<anonymous>	01c20000	40000		0
<anonymous>	01c60000	80000		0
C:\Matlab\bin\win32\DFORMD.DLL	01ce0000	7		2000
<anonymous>	01d60000	40000		0
<anonymous>	01da0000	800000		0
<anonymous>	025a0000	800000		0
<anonymous>	02da0000	800000		0
<anonymous>	035a0000	0		2000
<anonymous>	035b0000	1000		0000f000
<anonymous>	035c0000	10000		0
<anonymous>	035d0000	80000		0
<anonymous>	3650000	50000		0
<anonymous>	036a0000	30000		0
<anonymous>	036d0000	20000		0
<anonymous>	036f0000	10000		0
<anonymous>	3700000	100000		0
<anonymous>	3800000	2000000		0
<anonymous>	5800000	8000000		0
<anonymous>	0d800000	80000		0
<anonymous>	0d880000	80000		0
<anonymous>	0d900000	80000		0
<anonymous>	0d980000	80000		0
<anonymous>	0da00000	80000		0
<anonymous>	0da80000	80000		0
<anonymous>	0db00000	80000		0
<anonymous>	0db80000	200000		0
<anonymous>	0dd80000	400000		0
<anonymous>	0e180000	80000		0
<anonymous>	0e200000	80000		0
<anonymous>	0e280000	80000		0
<anonymous>	0e300000	80000		0
<anonymous>	0e380000	9000		7000
<anonymous>	0e390000	9000		7000
<anonymous>	0e3a0000	10000		0
<anonymous>	0e3b0000	1000		0000f000
C:\Matlab\toolbox\matlab\timefun\datenummx.mexw32	0e3c0000	5000		0000b000
<anonymous>	0e3d0000	22000		0
<anonymous>	0e400000	80000		0
C:\Matlab\bin\win32\nativeservices.dll	0e480000	5000		0000b000
<anonymous>	0e490000	80000		0
<anonymous>	0e510000	800000		0
<anonymous>	0ed10000	80000		0
